"ID";"Label";"Orga.hiero";"Nmbr.Plage.ext";"Decor";"Del.centre";"Datation";"Dm.ext";"Dm.int";"Titre";"Nmbr.hiero";"Nmbr.Symb";"Surface";"Symb";"Hiero";"Titre-Hiero"
"Boehmer1987-111";"B.111";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";27;17;"Fonctionnaire";3;2;"Plate";"L370-BONUS2, L441-VITA, Frise.torsadee, ";"L193-LUNA, L17-REX, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-117";"B.117";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";25;9;"Fonctionnaire";3;2;"Plate";"L441-VITA, L370-BONUS2, Frise.torsadee, ";"L105-BOS, L432-zu, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-118";"B.118";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";29;10;"Fonctionnaire";3;1;"Plate";"L441-VITA, Frise.torsadee, ";"?, L370-BONUS2, L326-SCRIBA, ";"L370-BONUS2, L326-SCRIBA"
"Boehmer1987-119";"B.119";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";17;9;"Abs";2;1;"Plate";"Frise.torsadee, ";"?, ";"?  "
"Boehmer1987-120";"B.120";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";20;9;"Fonctionnaire";3;2;"Plate";"L441-VITA, L370-BONUS2, Frise.torsadee, ";"?, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-123";"B.123";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";20;10;"Fonctionnaire";2;2;"Plate";"L441-VITA, L370-BONUS2, Frise.torsadee, ";"L103-CERVUS3, L383-ra/i, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-124";"B.124";"Atypique";1;"Ornemental";"Aucune";"16-15e";23;12;"Fonctionnaire";2;2;"Plate";"L370-BONUS2, L369-VITA, Frise.torsadee, ";"?, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-125";"B.125";"Atypique";1;"Ornemental";"Aucune";"16-15e";19;9;"Abs";2;1;"Plate";"L369-VITA, Frise.torsadee, ";"?, ";"?  "
"Boehmer1987-126";"B.126";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";25;12;"Fonctionnaire";2;2;"Plate";"L369-VITA, L370-BONUS2, Frise.torsadee, ";"L100-ASINUS, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-127";"B.127";"Atypique";1;"Ornemental";"Aucune";"16-15e";20;10;"Fonctionnaire";3;2;"Plate";"L370-BONUS2, L441-VITA, Frise.torsadee, ";"L110-ma, ?, L326-SCRIBA, ";"L326-SCRIBA  "
"Boehmer1987-131";"B.131";"Atypique";2;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"16-15e";18;10;"Abs";2;2;"Plate";"Animaux, Frise.torsadee, ";"L19-a2, ?, ";"?  "
"Boehmer1987-154";"B.154";"Atypique";1;"Figuratif";"Frise.trosadee";"16-15e";24;11;"Fonctionnaire";3;2;"Plate";"L441-VITA, L370-BONUS2, L370-BONUS2, Cupule, ";"L105-BOS, L432-zu, L326-SCRIBA, ";"L326-SCRIBA  "
"Dincol2008-1";"D.1";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";20;10;"Abs";1;0;"Plate";"Frise.torsadee, ";"?, ";"?  "
"Dincol2008-10";"D.10";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";26;13;"Fonctionnaire";3;0;"Plate";"Frise.torsadee, ";"L90-ti, ?, L354-URCEUS, ";"L354-URCEUS  "
"Dincol2008-105";"D.105";"Atypique";1;"Ornemental";"Aucune";"Inconnue";16;12;"Abs";2;0;"Plate";"Frise.rectangles, ";"L334-pa, L376-zi/a, ";"  "
"Dincol2008-118";"D.118";"Atypique";1;"Ornemental";"Aucune";"Inconnue";23;19;"Abs";2;0;"Plate";"Frise.rectangles, ";"L292-, ";"L292-  "
"Dincol2008-15";"D.15";"Centre";1;"Ornemental";"Ligne.simple";"16-15e";17;8;"Abs";3;0;"Plate";"Frise.torsadee, ";"L391-ma/i, L312-VIR, L101-ASINUS2, ";"  "
"Dincol2008-16";"D.16";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";17;11;"Fonctionnaire";3;2;"Plate";"L370-BONUS2, L369-VITA, Frise.torsadee, ";"L197-HATTI-li, L173-HASTARIUS, ";"L173-HASTARIUS  "
"Dincol2008-18";"D.18";"Atypique";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"16-15e";27;13;"Abs";3;3;"Plate";"Animaux, Rosette, Arbre, ";"L199-TONITRUS, L32-BRACHIUM, L227-URBS, ";"  "
"Dincol2008-2";"D.2";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";16;9;"Abs";4;0;"Plate";"Frise.torsadee, ";"?, ";"?  "
"Dincol2008-24";"D.24";"Atypique";1;"Figuratif";"Ligne.simple";"16-15e";24;11;"Abs";3;2;"Plate";"L370-BONUS2, L369-VITA, Figuren, ";"L105-BOS, L439-wa/i, L90-ti, ";"  "
"Dincol2008-25";"D.25";"Atypique";1;"Figuratif";"Ligne.simple";"Inconnue";15;14;"Fonctionnaire";3;0;"Plate";"Figuren, ";"L191-SOL, L370-BONUS2, L173-HASTARIUS, ";"L370-BONUS2, L173-HASTARIUS"
"Dincol2008-37b";"D.37b";"Atypique";0;"Abs";"Ligne.simple";"Inconnue";16;16;"Abs";3;0;"Plate";;"L334-pa, L66-pi, L376-zi/a, ";"  "
"Dincol2008-38";"D.38";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";22;11;"Abs";2;2;"Plate";"Frise.torsadee, ";"L196-, L100-ASINUS, ?, ";"?  "
"Dincol2008-4";"D.4";"Atypique";2;"Ornemental";"Aucune";"16-15e";26;12;"Abs";3;0;"Plate";"Frise.torsadee, Frise.rectangles, ";"L105-BOS, L97-LEO, L186-lu, ";"  "
"Dincol2008-51";"D.51";"Atypique";2;"Hieroglyphes.ou.Symbols";"Ligne.simple";"Inconnue";25;10;"Fonctionnaire";3;3;"Plate";"L369-VITA, L370-BONUS2, L369-VITA, Rosette, L370-BONUS2, Frise.torsadee, ";"?, L414-, L390-DOMINUS, ";"L414-, L390-DOMINUS"
"Dincol2008-52";"D.52";"Atypique";2;"Ornemental";"Ligne.simple";"Inconnue";21;9;"Fonctionnaire";2;2;"Plate";"Frise.torsadee, ";"L110-ma, L88-tu, L363-MAGNUS, L326-SCRIBA, ";"L363-MAGNUS, L326-SCRIBA"
"Dincol2008-5a";"D.5a";"Atypique";1;"Ornemental";"Aucune";"16-15e";20;17;"Abs";3;2;"Plate";"L370-BONUS2, L369-VITA, Frise.rectangles, ";"?, ";"?  "
"Dincol2008-5b";"D.5b";"Atypique";1;"Ornemental";"Aucune";"16-15e";17;8;"Abs";3;0;"Plate";"Frise.torsadee, ";"L199-TONITRUS, L370-BONUS2, L35-na, ";"  "
"Dincol2008-6";"D.6";"Atypique";1;"Ornemental";"Aucune";"16-15e";14;9;"Abs";2;0;"Plate";"Frise.rectangles, ";"L105-BOS, L376-zi/a, ";"  "
"Dincol2008-65";"D.65";"Centre";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";18;13;"Prince";4;5;"Plate";"L370-BONUS2, Rosette, L369-VITA, L370-BONUS2, ";"L88-tu, L439-wa/i, L376-zi/a, L46-REX.FILIUS, ";"L46-REX.FILIUS  "
"Dincol2008-68";"D.68";"Atypique";1;"Ornemental";"Ligne.simple";"Inconnue";23;15;"Abs";3;2;"Plate";"L369-VITA, L370-BONUS2, Frise.torsadee, ";"L439-wa/i, L376-zi/a, L278-li, ";"  "
"Dincol2008-7";"D.7";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";19;10;"Abs";1;2;"Plate";"L370-BONUS2, L369-VITA, Frise.torsadee, ";"L105-BOS,";"  "
"Dincol2008-71";"D.71";"Centre";1;"Ornemental";"Ligne.simple";"Inconnue";22;12;"Fonctionnaire";3;0;"Plate";"Frise.torsadee, ";"L199-TONITRUS, L370-BONUS2, L438-PASTOR, ";"L438-PASTOR  "
"Dincol2008-72";"D.72";"Atypique";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"14e";19;10;"Abs";3;3;"Plate";"L370-BONUS2, L369-VITA, Nom, Rosette, L370-BONUS2, L369-VITA, ";"L461-, L312-VIR, L376-zi/a, ";"  "
"Dincol2008-73";"D.73";"Centre";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";19;10;"Abs";2;3;"Plate";"Animaux, Arbre, L370-BONUS2, ";"L191-SOL, L175-la, ";"  "
"Dincol2008-8";"D.8";"Atypique";1;"Ornemental";"Aucune";"16-15e";20;9;"Abs";2;0;"Plate";"Frise.torsadee, ";"L197-HATTI-li,";"  "
"Dincol2008-85";"D.85";"Atypique";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";18;12;"Abs";3;3;"Plate";"L370-BONUS2, Cupule, Cupule, L370-BONUS2, ";"L107-BOS+MI, L175-la, L35-na, ";"  "
"Dincol2008-9";"D.9";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";21;12;"Abs";2;2;"Plate";"L370-BONUS2, L369-VITA, Frise.torsadee, ";"L199-TONITRUS, ?, ";"  "
"Dincol2008-97";"D.97";"Atypique";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";16;8;"Fonctionnaire";4;2;"Plate";"Fleur, Griffon.et/ou.Aigle, ";"L370-BONUS2, L41-ta, L363-MAGNUS, L254-EUNUCHUS2, ";"L363-MAGNUS, L254-EUNUCHUS2"
"Gueterbock1942-195";"G.195";"Atypique";1;"Ornemental";"Ligne.simple";"16-15e";21;10;"Fonctionnaire";3;0;"Plate";"L370-BONUS2, L369-VITA, Frise.torsadee, ";"?, ";"?  "
"Gueterbock1942-204";"G.204";"Quinconce";2;"Hieroglyphes.ou.Symbols";"Ligne.simple";"14e";25;13;"Fonctionnaire";4;3;"Plate";"Cupule, Titre, Nom, L440-VITA, L370-BONUS2, Cupule";"L186-lu, L439-wa/i, L326-SCRIBA, Deux, ";"L326-SCRIBA, Deux"
"Gueterbock1942-48";"G.48";"T-N-T";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"14e";19;13;"Fonctionnaire";5;2;"Plate";"Cupule, Cupule, L370-BONUS2, ";"G65, L215-ha, G65, L370-BONUS2, L372-SACERDOS, ";"L370-BONUS2, L372-SACERDOS"
"Gueterbock1942-53";"G.53";"T-N-T";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"14e";24;15;"Fonctionnaire";6;1;"Plate";"L440-VITA, L440-VITA, ";"L148-IANUS, L312-VIR, L376-zi/a, L370-BONUS2, L326-SCRIBA, Deux, ";"L370-BONUS2, L326-SCRIBA, Deux "
"Gueterbock1942-54";"G.54";"Quinconce";1;"Ornemental";"Ligne.simple";"14e";26;17;"Fonctionnaire";5;2;"Plate";"L370-BONUS2, L441-VITA, ";"L186-lu, L334-pa, L446-ki, L326-SCRIBA, L175-la, ";"L326-SCRIBA, L175-la"
"Gueterbock1942-59";"G.59";"T-N-T";2;"Ornemental";"Ligne.simple";"Inconnue";21;10;"Fonctionnaire";2;2;"Plate";"Cupule, L370-BONUS2, L441-VITA, ";"L328-pu, ?, L370-BONUS2, L326-SCRIBA, ";"L370-BONUS2, L326-SCRIBA , "
"Herbordt2005-102";"H.102";"T-N-T";0;"Abs";"Aucune";"13e";16;16;"Prince";6;0;"Convexe";;"L209-i(a), L181-HALA, L80-SARMA, L46-REX.FILIUS, L250-MAGNUS.DOMUS, L45-FILIUS, ";"L46-REX.FILIUS, L250-MAGNUS.DOMUS, L45-FILIUS "
"Herbordt2005-106";"H.106";"T-N-T";0;"Abs";"Ligne.simple";"Inconnue";25;25;"Fonctionnaire";6;3;"Convexe";"Griffon.et/ou.Aigle, L370-BONUS2, Rosette , ";"L282-, L175-la, L289-AURIGA, L411-ni, L370-BONUS2, L289-AURIGA, ";"L370-BONUS2, L289-AURIGA , "
"Herbordt2005-108";"H.108";"Atypique";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"14e";20;14;"Fonctionnaire";9;2;"Plate";"L441-VITA, L508-HWI, L440-VITA, L370-BONUS2, ";"L199-TONITRUS, L85-GENUFLECTERE, L102-CERVUS2, L90-ti, L370-BONUS2, L326-SCRIBA, L175-la, L363-MAGNUS, L312-VIR";"L370-BONUS2, L326-SCRIBA, L175-la, L363-MAGNUS, L312-VIR"
"Herbordt2005-124";"H.124";"Centre";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"Inconnue";46;30;"Fonctionnaire";5;3;"Convexe";"Figuren, Nom, Titre, Arbre, ";"L414-, L97-LEO, L383-ra/i, L376-zi/a, L173-HASTARIUS, ";"L173-HASTARIUS  "
"Herbordt2005-136";"H.136";"T-N-T";1;"Animal";"Ligne.simple";"Inconnue";47;27;"Prince";7;4;"Convexe";"L440-VITA, L370-BONUS2, Arbre Griffon.et/ou.Aigle, ";"L17-REX, L102-CERVUS2, L383-ra/i, L46-REX.FILIUS, L363-MAGNUS, L390-DOMINUS, L45-FILIUS, ";"L46-REX.FILIUS, L363-MAGNUS, L390-DOMINUS, L45-FILIUS"
"Herbordt2005-140";"H.140";"Atypique";0;"Abs";"Ligne.simple";"13e";12;12;"Fonctionnaire";5;0;"Convexe";;"L103-CERVUS3, L383-ra/i, L165-wa3/1, L414-, L390-DOMINUS, ";"L414-, L390-DOMINUS"
"Herbordt2005-145";"H.145";"Doublet";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"13e";35;29;"Prince";6;2;"Convexe";"L441-VITA, Griffon.et/ou.Aigle,";"L105-BOS2, L209-i(a), L214-ni2, L46-REX.FILIUS, L326-SCRIBA, Deux, ";"L46-REX.FILIUS, L326-SCRIBA, Deux "
"Herbordt2005-153";"H.153";"T-N-T";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"14e";20;13;"Fonctionnaire";6;1;"Plate";"L440-VITA, ";"L148-IANUS, L312-VIR, L376-zi/a, L370-BONUS2, L326-SCRIBA, Deux, ";"L370-BONUS2, L326-SCRIBA, Deux "
"Herbordt2005-154";"H.154";"T-N-T";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"14e";18;8;"Fonctionnaire";6;1;"Plate";"L440-VITA, ";"L148-IANUS, L312-VIR, L376-zi/a, L370-BONUS2, L326-SCRIBA, Deux, ";"L370-BONUS2, L326-SCRIBA, Deux "
"Herbordt2005-159";"H.159";"T-N-T";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";24;16;"Fonctionnaire";5;2;"Convexe";"Rosette, L440-VITA, ";"L434-ka, G195, L209-i(a), L370-BONUS2, L326-SCRIBA, ";"L370-BONUS2, L326-SCRIBA "
"Herbordt2005-160";"H.160";"T-N-T";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";19;13;"Fonctionnaire";8;2;"Convexe";"L370-BONUS2, L440-VITA, ";"L434-ka, G195, L209-i(a), L370-BONUS2, L326-SCRIBA, L414-, L391-mi, L390-DOMINUS";"L370-BONUS2, L326-SCRIBA, L414-, L391-mi, L390-DOMINUS"
"Herbordt2005-170";"H.170";"Atypique";1;"Ornemental";"Ligne.simple";"Inconnue";16;14;"Fonctionnaire";5;0;"Convexe";"Frise.rectangles, ";"L423-ku, L175-la, L450-a, L370-BONUS2, L326-SCRIBA, ";"L370-BONUS2, L326-SCRIBA "
"Herbordt2005-172";"H.172";"Doublet";1;"Ornemental";"Ligne.simple";"Inconnue";21;16;"Fonctionnaire";5;3;"Convexe";"L370-BONUS2, L440-VITA, Cupule Frise.rectangles, ";"L423-ku, L175-la, L35-na, L363-MAGNUS, L289-AURIGA, ";"L363-MAGNUS, L289-AURIGA "
"Herbordt2005-178";"H.178";"T-N-T";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"Inconnue";20;13;"Fonctionnaire";5;2;"Convexe";"L370-BONUS2, Cupule, Titre, Rosette, ";"L423-ku, L411-ni, L312-VIR, L376-zi/a, L326-SCRIBA, ";"L326-SCRIBA  "
"Herbordt2005-182";"H.182";"T-N-T";0;"Abs";"Ligne.simple";"Inconnue";19;19;"Fonctionnaire";4;0;"Convexe";;"L102-CERVUS2, L90-ti, L283-, L289-AURIGA, ";"L283-, L289-AURIGA "
"Herbordt2005-196";"H.196";"Doublet";0;"Abs";"Ligne.simple";"Inconnue";17;17;"Fonctionnaire";4;1;"Convexe";"Rosette,";"L269-EXERCITUS, L312-VIR, L376-zi/a, L326-SCRIBA, ";"L326-SCRIBA  "
"Herbordt2005-2";"H.2";"T-N-T";0;"Abs";"Ligne.simple";"Inconnue";16;16;"Fonctionnaire";8;1;"Convexe";"Fleur,";"L19-a2, L446-ki, L209-i(a), L370-BONUS2, L372-SACERDOS, L386-VIR2, L247-DOMUS, L327-SIGILLUM";"L370-BONUS2, L372-SACERDOS, L386-VIR2, L247-DOMUS, L327-SIGILLUM"
